pitch_type,batted_ball_type,hit_x,hit_y,exit_velocity,launch_angle,outcome
FF,fly_ball,40.89,100.41000000000001,81.5,46,field_out
SI,fly_ball,-40.790000000000006,145.23000000000002,104.9,42,field_out
CU,fly_ball,86.58999999999999,144.59,117.2,25,home_run
SL,ground_ball,23.019999999999996,43.5,74.1,-4,field_out
SI,line_drive,57.35000000000001,125.16000000000001,104.3,22,double
FF,fly_ball,-70.58,137.46,107.5,38,home_run
SL,line_drive,93.91000000000001,83.37,88.7,18,triple
SL,popup,-29.53,-9.359999999999985,74.8,79,field_out
SL,ground_ball,66.89999999999999,69.92000000000002,29,43,double
FF,ground_ball,22.42,56.5,98.1,-9,field_out
FC,fly_ball,-42.57000000000001,118.16000000000001,88.3,33,field_out
SI,ground_ball,10.700000000000003,10.310000000000002,40,-31,single
CH,fly_ball,85.27,162.74,116.1,27,home_run
FS,ground_ball,23.85000000000001,34.110000000000014,67.2,-35,field_out
SL,fly_ball,9.920000000000002,166.32000000000002,103.5,23,home_run
FS,ground_ball,30.459999999999994,30.659999999999997,104,-3,field_out
SI,fly_ball,-99.88,126.43,107.6,25,home_run
CH,fly_ball,-49.010000000000005,84.04,105.1,53,field_out
SI,line_drive,64.08999999999999,138.98000000000002,114.3,18,home_run
SI,fly_ball,-19.430000000000007,136.29000000000002,100.4,45,field_out
CH,fly_ball,-53.67,155.26000000000002,109,26,home_run
FF,ground_ball,22.510000000000005,25.560000000000002,80.5,-11,field_out
FF,ground_ball,-10.430000000000007,12.04000000000002,33.6,-44,single
SL,fly_ball,109.48,139.20000000000002,110.9,30,home_run
SI,ground_ball,8.579999999999998,47.860000000000014,66.5,-30,field_out
CU,ground_ball,12.429999999999993,36.640000000000015,100.8,-2,field_out
FF,ground_ball,29.58,34.130000000000024,104.7,-1,grounded_into_double_play
FF,fly_ball,85.07000000000001,151.97000000000003,115.8,25,home_run
FS,ground_ball,14.33999999999999,47.33000000000001,71.3,-11,field_out
SI,ground_ball,14.059999999999988,42.55000000000001,103.1,1,field_out
CH,line_drive,15.549999999999997,108.33000000000001,81.7,19,single
CU,ground_ball,37.959999999999994,59.32000000000002,105.5,10,field_out
FF,ground_ball,20.39,47.20000000000002,96.8,-18,field_out
CU,line_drive,32.05999999999999,119.87,108.8,8,single
CH,ground_ball,9.850000000000009,16.640000000000015,108.7,5,field_out
SI,line_drive,51.27999999999999,134.19,114.9,14,double
CU,ground_ball,45.719999999999985,42.170000000000016,92,-12,field_out
CU,line_drive,63.959999999999994,134.19,108.3,24,double
SL,line_drive,-57.85000000000001,109.23,105,10,single
CH,line_drive,44.60000000000001,117.26,97.1,20,field_out
CU,line_drive,72.46,99.88000000000001,112.6,17,double
CH,fly_ball,53.11,170.44,111.7,31,home_run
CH,ground_ball,30.769999999999996,34.58000000000001,76.3,1,field_out
CU,line_drive,-80.93,94.34,93.6,22,double
FC,line_drive,-35.44,172.42000000000002,112.5,21,home_run
SL,line_drive,41.730000000000004,123.71000000000001,114,17,field_out
SL,ground_ball,17.570000000000007,69.20000000000002,97.2,8,field_out
FF,ground_ball,6.290000000000006,60.380000000000024,110.5,0,grounded_into_double_play
FF,fly_ball,1.0900000000000034,159.44,108.2,38,field_out
FF,ground_ball,27.33,55.45000000000002,99.2,-12,field_out
FF,line_drive,-17.290000000000006,37.21000000000001,98.9,7,field_out
SI,ground_ball,29.190000000000012,43.390000000000015,85.2,-13,field_error
FF,line_drive,-41.96000000000001,112.23,95.4,14,single
FF,line_drive,-1.9899999999999949,104.03000000000002,109.7,8,single
CH,popup,-33.08,15.939999999999998,62.1,71,field_out
SI,fly_ball,-88.75,96.46000000000001,101.8,43,field_out
FF,fly_ball,21.11999999999999,129.61,87.1,31,field_out
FF,fly_ball,-50.66,90.94000000000001,94.7,51,field_out
FC,ground_ball,9.799999999999997,24.24000000000001,69.5,-65,single
CH,ground_ball,-6.409999999999997,49.09,71.2,-19,field_out
FC,fly_ball,113.05,105.48,117,24,home_run
FF,line_drive,55.91000000000001,124.62,110.9,18,sac_fly
CU,line_drive,-3.5900000000000034,159.59,102.3,22,triple
FF,ground_ball,28.08999999999999,93.02000000000001,68.5,7,double
CH,popup,-20.269999999999996,30.460000000000008,80.9,72,field_out
CU,fly_ball,-61.05,137.55,108.5,38,field_out
FC,ground_ball,-15.310000000000002,16.150000000000006,34.7,2,single
FC,line_drive,8.969999999999985,131.62,110.1,13,field_out
FC,line_drive,-26.549999999999997,60.70000000000002,82.8,12,field_out
CH,line_drive,-23.010000000000005,126.68,97.8,15,single
FC,ground_ball,-3.180000000000007,64.46000000000001,95.3,-5,field_out
FF,fly_ball,6.429999999999993,177.39000000000001,111.9,31,home_run
FF,fly_ball,65.17999999999999,161.97000000000003,105.9,27,home_run
FF,ground_ball,-28.129999999999995,51.650000000000006,105.7,-9,field_error
FF,fly_ball,117.42,115.04,96.6,36,home_run
FC,ground_ball,31.66000000000001,58.610000000000014,92.7,-6,field_out
FF,fly_ball,60.58,117.57000000000001,98.5,41,field_out
SI,ground_ball,-43.260000000000005,43.58000000000001,66.9,2,single
KC,fly_ball,-67.98,132.11,101.7,33,home_run
KC,fly_ball,-88.06,89.59,95.2,28,double
CH,fly_ball,-54.730000000000004,49.170000000000016,87.5,62,field_out
FC,ground_ball,29.809999999999988,42.57000000000002,88.4,-16,field_out
CH,line_drive,53.95,97.57000000000001,94.7,13,single
CH,ground_ball,22.83,46.45000000000002,76.6,-42,field_out
