Title,Directors,vote_date,day_of_week,weekend,duration,ratings,movie_period,num_votes,imdb_rating
Mud,Jeff Nichols,2014-01-01,Wednesday,Workday,Long,Med,Modern,145099,7.4
Master and Commander: The Far Side of the World,Peter Weir,2014-01-01,Wednesday,Workday,Long,Med,Modern,177216,7.4
"Crouching Tiger, Hidden Dragon",Ang Lee,2013-12-30,Monday,Workday,Medium,High,Old,227126,7.9
The Orphanage,J.A. Bayona,2013-12-03,Tuesday,Workday,Medium,Med,Modern,127276,7.5
Traffic,Steven Soderbergh,2013-12-02,Monday,Workday,Long,Med,Old,176977,7.6
"When I Grow Up, I'll Be a Kangaroo",Radivoje Andric,2013-11-29,Friday,Workday,Medium,Med,Modern,7378,8.4
The Hunger Games: Catching Fire,Francis Lawrence,2013-11-25,Monday,Workday,Long,Med,Modern,532739,7.6
Zodiac,David Fincher,2013-11-09,Saturday,Weekend,Long,Med,Modern,339153,7.7
Saw,James Wan,2013-11-09,Saturday,Weekend,Medium,Med,Modern,320083,7.7
Atonement,Joe Wright,2013-11-09,Saturday,Weekend,Long,Med,Modern,205926,7.8
Mystic River,Clint Eastwood,2013-11-09,Saturday,Weekend,Long,High,Modern,359256,8
The Ring,Gore Verbinski,2013-11-09,Saturday,Weekend,Medium,Med,Modern,273292,7.1
Hugo,Martin Scorsese,2013-11-09,Saturday,Weekend,Long,High,Modern,262608,7.5
Contact,Robert Zemeckis,2013-11-09,Saturday,Weekend,Long,Med,Old,216040,7.4
Super 8,J.J. Abrams,2013-11-09,Saturday,Weekend,Medium,Med,Modern,302113,7
Sherlock Holmes: A Game of Shadows,Guy Ritchie,2013-11-09,Saturday,Weekend,Long,Med,Modern,362689,7.5
Lost Highway,David Lynch,2013-11-09,Saturday,Weekend,Long,High,Old,106451,7.6
Let Me In,Matt Reeves,2013-11-09,Saturday,Weekend,Medium,Med,Modern,98568,7.2
9,Shane Acker,2013-11-09,Saturday,Weekend,Short,Med,Modern,116679,7.1
Cube,Vincenzo Natali,2013-11-09,Saturday,Weekend,Short,Med,Old,173125,7.3
True Grit,"Ethan Coen, Joel Coen",2013-10-23,Wednesday,Workday,Medium,Med,Modern,258241,7.6
Stoker,Chan-wook Park,2013-10-23,Wednesday,Workday,Medium,Med,Modern,90209,6.8
The Place Beyond the Pines,Derek Cianfrance,2013-10-22,Tuesday,Workday,Long,Med,Modern,203989,7.3
Captain Phillips,Paul Greengrass,2013-10-21,Monday,Workday,Long,Med,Modern,351795,7.8
Disconnect,Henry-Alex Rubin,2013-10-15,Tuesday,Workday,Medium,Med,Modern,65583,7.6
The Words,"Brian Klugman, Lee Sternthal",2013-10-15,Tuesday,Workday,Medium,Med,Modern,64237,7.1
Zero Dark Thirty,Kathryn Bigelow,2013-10-15,Tuesday,Workday,Long,Low,Modern,229653,7.4
The Darjeeling Limited,Wes Anderson,2013-10-15,Tuesday,Workday,Medium,Med,Modern,148871,7.2
Gravity,Alfonso Cuarón,2013-10-06,Sunday,Weekend,Medium,Med,Modern,633101,7.8
The Intouchables,"Olivier Nakache, Eric Toledano",2013-09-28,Saturday,Weekend,Medium,High,Modern,572218,8.6
Seven Psychopaths,Martin McDonagh,2013-09-25,Wednesday,Workday,Medium,Med,Modern,199440,7.2
Revanche,Götz Spielmann,2013-09-22,Sunday,Weekend,Long,Med,Modern,11891,7.6
Raise the Red Lantern,Yimou Zhang,2013-09-22,Sunday,Weekend,Long,High,Old,22515,8.2
A Separation,Asghar Farhadi,2013-09-22,Sunday,Weekend,Long,Med,Modern,168943,8.4
