Title,Directors,vote_date,day_of_week,weekend,duration,ratings,movie_period,num_votes,imdb_rating
21,Robert Luketic,2008-06-11,Wednesday,Workday,Long,Med,Modern,200455,6.8
The Onion Movie,"James Kleiner, James Kleiner",2008-06-07,Saturday,Weekend,Short,High,Modern,14165,6.3
Redacted,Brian De Palma,2008-06-02,Monday,Workday,Short,High,Modern,9210,6.1
Formula 51,Ronny Yu,2008-06-02,Monday,Workday,Medium,Med,Modern,44097,6.3
Fearless,Peter Weir,2008-05-13,Tuesday,Workday,Long,Med,Old,18524,7.1
Mean Machine,Barry Skolnick,2008-05-09,Friday,Workday,Medium,High,Modern,31037,6.5
Secret Window,David Koepp,2008-05-09,Friday,Workday,Medium,Med,Modern,156757,6.6
House of Sand and Fog,Vadim Perelman,2008-05-03,Saturday,Weekend,Long,High,Modern,58525,7.6
Before the Devil Knows You're Dead,Sidney Lumet,2008-05-02,Friday,Workday,Medium,Med,Modern,85274,7.3
The Thirteenth Floor,Josef Rusnak,2008-04-22,Tuesday,Workday,Medium,High,Old,55902,7
We Are Not Angels,Srdjan Dragojevic,2008-04-20,Sunday,Weekend,Medium,Med,Old,6403,8.5
Juno,Jason Reitman,2008-04-20,Sunday,Weekend,Medium,Low,Modern,437238,7.5
The Thin Red Line,Terrence Malick,2008-04-15,Tuesday,Workday,Long,Med,Old,147876,7.6
Three Kings,David O. Russell,2008-04-13,Sunday,Weekend,Medium,Med,Old,144411,7.1
The Bank Job,Roger Donaldson,2008-04-13,Sunday,Weekend,Medium,Med,Modern,158227,7.3
The Incredibles,Brad Bird,2008-04-12,Saturday,Weekend,Medium,High,Modern,517328,8
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,2008-04-12,Saturday,Weekend,Long,Low,Modern,308444,6.9
Bee Movie,"Simon J. Smith, Steve Hickner",2008-04-10,Thursday,Workday,Medium,Low,Modern,114608,6.1
Vantage Point,Pete Travis,2008-04-01,Tuesday,Workday,Short,Low,Modern,132369,6.6
Tell No One,Guillaume Canet,2008-03-29,Saturday,Weekend,Long,High,Modern,41452,7.6
Chasing Amy,Kevin Smith,2008-03-28,Friday,Workday,Medium,Med,Old,119236,7.3
Minority Report,Steven Spielberg,2008-03-28,Friday,Workday,Long,Med,Modern,427810,7.7
Total Recall,Paul Verhoeven,2008-03-28,Friday,Workday,Medium,Med,Old,255723,7.5
The Acid House,Paul McGuigan,2008-03-27,Thursday,Workday,Medium,Med,Old,6248,6.3
The Number 23,Joel Schumacher,2008-03-27,Thursday,Workday,Medium,Low,Modern,173088,6.4
Wild at Heart,David Lynch,2008-03-27,Thursday,Workday,Long,Low,Old,66728,7.2
Serenity,Joss Whedon,2008-03-23,Sunday,Weekend,Medium,Med,Modern,254057,7.9
A Few Good Men,Rob Reiner,2008-03-20,Thursday,Workday,Long,High,Old,194598,7.7
Team America: World Police,Trey Parker,2008-03-16,Sunday,Weekend,Medium,Med,Modern,142186,7.2
Sexy Beast,Jonathan Glazer,2008-03-09,Sunday,Weekend,Short,Med,Old,45957,7.3
A Scanner Darkly,Richard Linklater,2008-03-03,Monday,Workday,Medium,Med,Modern,93989,7.1
There Will Be Blood,Paul Thomas Anderson,2008-03-03,Monday,Workday,Long,Med,Modern,408870,8.1
Gangs of New York,Martin Scorsese,2008-03-03,Monday,Workday,Long,Med,Modern,337484,7.5
Little Miss Sunshine,"Jonathan Dayton, Valerie Faris",2008-02-17,Sunday,Weekend,Medium,High,Modern,378796,7.8
V for Vendetta,James McTeigue,2008-02-10,Sunday,Weekend,Long,Med,Modern,860772,8.2
Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,2008-02-05,Tuesday,Workday,Medium,High,Modern,300031,7.4
He Was a Quiet Man,Frank A. Cappello,2008-02-02,Saturday,Weekend,Medium,High,Modern,20825,6.8
The Nines,John August,2008-01-26,Saturday,Weekend,Medium,Med,Modern,29955,6.4
Jackie Brown,Quentin Tarantino,2008-01-14,Monday,Workday,Long,Med,Old,255985,7.5
Death Sentence,James Wan,2008-01-13,Sunday,Weekend,Medium,Med,Modern,62528,6.8
No Country for Old Men,"Ethan Coen, Joel Coen",2008-01-13,Sunday,Weekend,Long,High,Modern,673178,8.1
Ronin,John Frankenheimer,2008-01-13,Sunday,Weekend,Long,Med,Old,152185,7.3
The Virgin Suicides,Sofia Coppola,2008-01-13,Sunday,Weekend,Medium,Med,Old,124419,7.2
Ichi the Killer,Takashi Miike,2008-01-06,Sunday,Weekend,Long,Low,Modern,44884,7.1
Hearts in Atlantis,Scott Hicks,2008-01-06,Sunday,Weekend,Medium,High,Modern,31847,6.9
Senseless,Penelope Spheeris,2008-01-03,Thursday,Workday,Medium,Med,Old,11308,6
Kit,Petar B. Vasilev,2008-01-03,Thursday,Workday,Short,High,Retro,244,7.7
Edward Scissorhands,Tim Burton,2007-12-30,Sunday,Weekend,Medium,Med,Old,382100,7.9
The Marathon Family,Slobodan Sijan,2007-12-29,Saturday,Weekend,Medium,High,Old,11571,9
Waking Life,Richard Linklater,2007-12-29,Saturday,Weekend,Medium,High,Modern,52603,7.8
Pan's Labyrinth,Guillermo del Toro,2007-12-29,Saturday,Weekend,Medium,High,Modern,507543,8.2
I Am Legend,Francis Lawrence,2007-12-29,Saturday,Weekend,Medium,Med,Modern,575135,7.2
Lucky Number Slevin,Paul McGuigan,2007-12-29,Saturday,Weekend,Medium,High,Modern,274632,7.8
Signs,M. Night Shyamalan,2007-12-29,Saturday,Weekend,Medium,Med,Modern,290959,6.7
The Man from Earth,Richard Schenkman,2007-12-29,Saturday,Weekend,Short,Med,Modern,142796,8
Casino Royale,Martin Campbell,2007-12-28,Friday,Workday,Long,Med,Modern,501167,8
The Jacket,John Maybury,2007-12-27,Thursday,Workday,Medium,Med,Modern,97566,7.1
The Fountain,Darren Aronofsky,2007-12-27,Thursday,Workday,Medium,Med,Modern,201465,7.3
Road to Perdition,Sam Mendes,2007-12-27,Thursday,Workday,Medium,Med,Modern,212744,7.7
Live Free or Die Hard,Len Wiseman,2007-12-27,Thursday,Workday,Long,Med,Modern,350864,7.2
Pi,Darren Aronofsky,2007-12-27,Thursday,Workday,Short,Low,Old,150013,7.5
The Boondock Saints,Troy Duffy,2007-12-26,Wednesday,Workday,Medium,High,Old,206105,7.9
Idiocracy,Mike Judge,2007-12-23,Sunday,Weekend,Short,Med,Modern,117373,6.6
25th Hour,Spike Lee,2007-12-05,Wednesday,Workday,Long,Med,Modern,155527,7.7
Apocalypto,Mel Gibson,2007-12-05,Wednesday,Workday,Long,Med,Modern,251108,7.8
Dogville,Lars Von Trier,2007-12-04,Tuesday,Workday,Long,High,Modern,114805,8
Everything Is Illuminated,Liev Schreiber,2007-12-02,Sunday,Weekend,Medium,High,Modern,52512,7.5
Sleepy Hollow,Tim Burton,2007-12-02,Sunday,Weekend,Medium,Med,Old,283184,7.4
Irreversible,Gaspar Noé,2007-12-02,Sunday,Weekend,Medium,High,Modern,94407,7.4
Blue Velvet,David Lynch,2007-12-02,Sunday,Weekend,Medium,Med,Old,145250,7.8
Cape Fear,Martin Scorsese,2007-12-02,Sunday,Weekend,Long,High,Old,137339,7.3
Being John Malkovich,Spike Jonze,2007-12-02,Sunday,Weekend,Medium,High,Old,268517,7.8
Sideways,Alexander Payne,2007-12-02,Sunday,Weekend,Long,High,Modern,157578,7.5
Ed Wood,Tim Burton,2007-11-29,Thursday,Workday,Long,Med,Old,148608,7.9
Run Lola Run,Tom Tykwer,2007-11-29,Thursday,Workday,Short,Low,Old,168695,7.7
Dead Man Walking,Tim Robbins,2007-11-29,Thursday,Workday,Long,High,Old,76932,7.6
The Matrix,"The Wachowski Brothers, The Wachowski Brothers",2007-11-29,Thursday,Workday,Long,High,Old,1329216,8.7
The Prestige,Christopher Nolan,2007-11-29,Thursday,Workday,Long,High,Modern,934525,8.5
Saving Private Ryan,Steven Spielberg,2007-11-29,Thursday,Workday,Long,Med,Old,970503,8.6
The Silence of the Lambs,Jonathan Demme,2007-11-29,Thursday,Workday,Medium,Med,Old,981071,8.6
Schindler's List,Steven Spielberg,2007-11-29,Thursday,Workday,Long,Med,Old,948045,8.9
Star Wars: Episode IV - A New Hope,George Lucas,2007-11-29,Thursday,Workday,Long,Low,Retro,994624,8.7
Heat,Michael Mann,2007-11-29,Thursday,Workday,Long,High,Old,466318,8.2
The Lord of the Rings: The Return of the King,Peter Jackson,2007-11-29,Thursday,Workday,Long,Low,Modern,1322226,8.9
12 Angry Men,Sidney Lumet,2007-11-29,Thursday,Workday,Medium,Med,Retro,503073,8.9
Trainspotting,Danny Boyle,2007-11-29,Thursday,Workday,Medium,High,Old,526375,8.2
One Flew Over the Cuckoo's Nest,Milos Forman,2007-11-29,Thursday,Workday,Long,High,Retro,738254,8.7
The Lord of the Rings: The Two Towers,Peter Jackson,2007-11-29,Thursday,Workday,Long,Low,Modern,1198477,8.7
Life Is Beautiful,Roberto Benigni,2007-11-29,Thursday,Workday,Medium,High,Old,470825,8.6
City of God,"Fernando Meirelles, Kátia Lund",2007-11-29,Thursday,Workday,Long,High,Modern,576324,8.7
Children of Men,Alfonso Cuarón,2007-11-29,Thursday,Workday,Medium,Med,Modern,389028,7.9
The Pianist,Roman Polanski,2007-11-29,Thursday,Workday,Long,High,Modern,553222,8.5
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,2007-11-29,Thursday,Workday,Long,Low,Retro,921949,8.8
Casino,Martin Scorsese,2007-11-29,Thursday,Workday,Long,Med,Old,364554,8.2
Twelve Monkeys,Terry Gilliam,2007-11-29,Thursday,Workday,Long,Med,Old,496904,8
Seven Samurai,Akira Kurosawa,2007-11-29,Thursday,Workday,Long,Med,Retro,249241,8.7
Kill Bill: Vol. 2,Quentin Tarantino,2007-11-29,Thursday,Workday,Long,High,Modern,551341,8
Big Fish,Tim Burton,2007-11-29,Thursday,Workday,Long,Med,Modern,367697,8
Dog Day Afternoon,Sidney Lumet,2007-11-28,Wednesday,Workday,Long,Med,Retro,197471,8
The Libertine,Laurence Dunmore,2007-11-25,Sunday,Weekend,Medium,Med,Modern,32302,6.4
The Green Mile,Frank Darabont,2007-11-25,Sunday,Weekend,Long,High,Old,871354,8.5
The Usual Suspects,Bryan Singer,2007-11-25,Sunday,Weekend,Medium,High,Old,807867,8.6
The Big Lebowski,Joel Coen,2007-11-25,Sunday,Weekend,Medium,Med,Old,587842,8.2
Ratatouille,"Brad Bird, Jan Pinkava",2007-11-25,Sunday,Weekend,Medium,High,Modern,512741,8
Old School,Todd Phillips,2007-11-25,Sunday,Weekend,Short,Med,Modern,193159,7.2
Layer Cake,Matthew Vaughn,2007-11-25,Sunday,Weekend,Medium,High,Modern,141557,7.4
Finding Neverland,Marc Forster,2007-11-25,Sunday,Weekend,Medium,High,Modern,181345,7.7
Corpse Bride,"Tim Burton, Mike Johnson",2007-11-25,Sunday,Weekend,Short,High,Modern,203934,7.4
Se7en,David Fincher,2007-11-10,Saturday,Weekend,Long,Med,Old,1124636,8.6
L.A. Confidential,Curtis Hanson,2007-11-10,Saturday,Weekend,Long,High,Old,445715,8.3
Open Your Eyes,Alejandro Amenábar,2007-11-05,Monday,Workday,Medium,High,Old,55679,7.8
Click,Frank Coraci,2007-11-04,Sunday,Weekend,Medium,Med,Modern,262317,6.4
Thank You for Smoking,Jason Reitman,2007-10-21,Sunday,Weekend,Medium,High,Modern,198025,7.6
The Good Shepherd,Robert De Niro,2007-10-20,Saturday,Weekend,Long,Med,Modern,89908,6.7
American Beauty,Sam Mendes,2007-10-16,Tuesday,Workday,Long,High,Old,892500,8.4
A Beautiful Mind,Ron Howard,2007-10-16,Tuesday,Workday,Long,High,Modern,674948,8.2
Angel Heart,Alan Parker,2007-10-16,Tuesday,Workday,Medium,Med,Old,67047,7.3
London,Hunter Richards,2007-10-10,Wednesday,Workday,Medium,High,Modern,20085,6.6
Clerks,Kevin Smith,2007-10-10,Wednesday,Workday,Medium,High,Old,189895,7.8
Jay and Silent Bob Strike Back,Kevin Smith,2007-10-10,Wednesday,Workday,Medium,High,Modern,133867,6.9
Clerks II,Kevin Smith,2007-10-10,Wednesday,Workday,Medium,High,Modern,118971,7.4
Blow,Ted Demme,2007-10-10,Wednesday,Workday,Long,High,Modern,209581,7.6
Dogma,Kevin Smith,2007-10-10,Wednesday,Workday,Long,High,Old,188947,7.4
Buffalo Soldiers,Gregor Jordan,2007-10-08,Monday,Workday,Medium,High,Modern,21318,6.9
8MM,Joel Schumacher,2007-10-08,Monday,Workday,Long,High,Old,108951,6.5
Revolver,Guy Ritchie,2007-10-08,Monday,Workday,Medium,High,Modern,78420,6.5
Eyes Wide Shut,Stanley Kubrick,2007-10-08,Monday,Workday,Long,High,Old,243875,7.3
Léon: The Professional,Luc Besson,2007-10-08,Monday,Workday,Medium,Med,Old,798966,8.6
Mulholland Dr.,David Lynch,2007-10-08,Monday,Workday,Long,High,Modern,260816,8
Scarface,Brian De Palma,2007-10-08,Monday,Workday,Long,Med,Old,586494,8.3
Once Upon a Time in America,Sergio Leone,2007-10-08,Monday,Workday,Long,High,Old,241945,8.4
Boogie Nights,Paul Thomas Anderson,2007-10-08,Monday,Workday,Long,High,Old,200872,7.9
The Devil's Advocate,Taylor Hackford,2007-10-08,Monday,Workday,Long,High,Old,277309,7.5
Magnolia,Paul Thomas Anderson,2007-10-08,Monday,Workday,Long,Med,Old,252620,8
Face/Off,John Woo,2007-10-08,Monday,Workday,Long,Med,Old,300372,7.3
Once Upon a Time in Mexico,Robert Rodriguez,2007-10-08,Monday,Workday,Medium,Low,Modern,136622,6.4
Rounders,John Dahl,2007-10-08,Monday,Workday,Long,High,Old,127667,7.4
Big Nothing,Jean-Baptiste Andrea,2007-10-07,Sunday,Weekend,Short,High,Modern,26904,6.8
Man Bites Dog,"Rémy Belvaux, André Bonzel",2007-10-07,Sunday,Weekend,Medium,High,Old,30307,7.6
Spider,David Cronenberg,2007-10-07,Sunday,Weekend,Medium,Med,Modern,31492,6.8
Amores Perros,Alejandro González Iñárritu,2007-10-07,Sunday,Weekend,Long,High,Old,186530,8.1
Very Bad Things,Peter Berg,2007-10-07,Sunday,Weekend,Medium,High,Old,40917,6.3
The Game,David Fincher,2007-10-07,Sunday,Weekend,Long,High,Old,282762,7.8
21 Grams,Alejandro González Iñárritu,2007-10-07,Sunday,Weekend,Long,High,Modern,199415,7.7
Tideland,Terry Gilliam,2007-10-03,Wednesday,Workday,Medium,High,Modern,28203,6.5
Fear and Loathing in Las Vegas,Terry Gilliam,2007-09-30,Sunday,Weekend,Medium,High,Old,225168,7.7
Underground,Emir Kusturica,2007-09-26,Wednesday,Workday,Long,High,Old,47191,8.1
"Black Cat, White Cat",Emir Kusturica,2007-09-26,Wednesday,Workday,Long,High,Old,43361,8.1
Spun,Jonas Åkerlund,2007-07-06,Friday,Workday,Medium,High,Modern,33352,6.8
K-PAX,Iain Softley,2007-06-26,Tuesday,Workday,Medium,High,Modern,157815,7.4
The Butterfly Effect,"Eric Bress, J. Mackye Gruber",2007-06-24,Sunday,Weekend,Medium,Med,Modern,384464,7.7
It's All Gone Pete Tong,Michael Dowse,2007-06-11,Monday,Workday,Short,High,Modern,17504,7.4
Memento,Christopher Nolan,2007-04-29,Sunday,Weekend,Medium,High,Old,921177,8.5
The Machinist,Brad Anderson,2007-04-29,Sunday,Weekend,Medium,High,Modern,302323,7.7
Smokin' Aces,Joe Carnahan,2007-04-09,Monday,Workday,Medium,Med,Modern,125386,6.7
Thursday,Skip Woods,2007-04-02,Monday,Workday,Short,High,Old,14762,7.2
The Apartment,Billy Wilder,2007-03-10,Saturday,Weekend,Long,High,Retro,121427,8.3
American History X,Tony Kaye,2007-03-10,Saturday,Weekend,Medium,High,Old,850656,8.5
The Shining,Stanley Kubrick,2007-03-10,Saturday,Weekend,Long,Low,Retro,673550,8.4
Fight Club,David Fincher,2007-03-10,Saturday,Weekend,Long,High,Old,1479487,8.8
The Departed,Martin Scorsese,2007-03-10,Saturday,Weekend,Long,High,Modern,954638,8.5
Forrest Gump,Robert Zemeckis,2007-03-10,Saturday,Weekend,Long,Med,Old,1389556,8.8
Braveheart,Mel Gibson,2007-03-10,Saturday,Weekend,Long,High,Old,801222,8.4
Requiem for a Dream,Darren Aronofsky,2007-03-10,Saturday,Weekend,Medium,High,Old,624477,8.3
Donnie Darko,Richard Kelly,2007-03-10,Saturday,Weekend,Medium,Low,Modern,630655,8.1
Apocalypse Now,Francis Coppola,2007-03-10,Saturday,Weekend,Long,High,Retro,487836,8.5
Snatch,Guy Ritchie,2007-03-10,Saturday,Weekend,Medium,High,Old,650006,8.3
Fargo,Joel Coen,2007-03-10,Saturday,Weekend,Medium,High,Old,496593,8.1
A Clockwork Orange,Stanley Kubrick,2007-03-10,Saturday,Weekend,Long,High,Retro,610099,8.3
Reservoir Dogs,Quentin Tarantino,2007-03-10,Saturday,Weekend,Medium,High,Old,729230,8.3
Kill Bill: Vol. 1,Quentin Tarantino,2007-03-10,Saturday,Weekend,Medium,High,Modern,800321,8.1
Sin City,"Frank Miller, Robert Rodriguez",2007-03-10,Saturday,Weekend,Long,High,Modern,688122,8
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,2007-03-10,Saturday,Weekend,Medium,High,Old,446963,8.2
Million Dollar Baby,Clint Eastwood,2007-03-10,Saturday,Weekend,Long,High,Modern,524770,8.1
Crash,Paul Haggis,2007-03-10,Saturday,Weekend,Medium,High,Modern,377702,7.8
Monty Python and the Holy Grail,"Terry Gilliam, Terry Jones",2007-03-10,Saturday,Weekend,Medium,Low,Retro,411971,8.3
Brazil,Terry Gilliam,2007-03-10,Saturday,Weekend,Long,High,Old,161902,8
Life of Brian,Terry Jones,2007-03-10,Saturday,Weekend,Medium,High,Retro,294403,8.1
Goodfellas,Martin Scorsese,2006-07-15,Saturday,Weekend,Long,High,Old,796021,8.7
Teoriya zapoya,Natalja Pogonischewa,2006-03-17,Friday,Workday,Short,High,Modern,197,6.1
Bad Education,Pedro Almodóvar,2006-03-12,Sunday,Weekend,Medium,High,Modern,47953,7.5
Oldboy,Chan-wook Park,2006-03-12,Sunday,Weekend,Medium,High,Modern,395986,8.4
The Shawshank Redemption,Frank Darabont,2006-03-08,Wednesday,Workday,Long,High,Old,1846141,9.3
Pulp Fiction,Quentin Tarantino,2006-03-08,Wednesday,Workday,Long,High,Old,1444868,8.9
Cypher,Vincenzo Natali,2006-02-23,Thursday,Workday,Medium,High,Modern,27881,6.8
Catch-22,Mike Nichols,2006-01-31,Tuesday,Workday,Long,High,Retro,18224,7.2
