City.Code,City,Metro,County,State,Population.Rank,January.2017
3806,Bridgeport,Stamford,Fairfield,CT,199,1632
38438,Eugene,Eugene,Lane,OR,200,1360
11337,Escondido,San Diego,San Diego,CA,201,2309
6183,Newark,Philadelphia,New Castle,DE,202,1477
41114,Sugar Land,Houston,Fort Bend,TX,203,2012
26857,Round Rock,Austin,Williamson,TX,204,1663
5052,Hampton,Virginia Beach,Hampton City,VA,205,1192
47019,Pasadena,Los Angeles,Los Angeles,CA,206,2739
54722,Torrance,Los Angeles,Los Angeles,CA,207,3045
4174,Columbia,Columbia,Richland,SC,208,1069
41324,Tyler,Tyler,Smith,TX,209,1166
12694,Mesquite,Dallas-Fort Worth,Dallas,TX,210,1347
24812,Fullerton,Los Angeles,Orange,CA,211,2729
21159,Warren,Detroit,Macomb,MI,212,1141
32783,McKinney,Dallas-Fort Worth,Collin,TX,213,1861
48443,West Valley City,Salt Lake City,Salt Lake,UT,214,1368
13480,Renton,Seattle,King,WA,215,2145
51260,Canton,Canton,Stark,OH,216,820
5914,Metairie,New Orleans,Jefferson,LA,217,1525
47570,Santa Maria,Santa Maria-Santa Barbara,Santa Barbara,CA,218,1809
4521,Edinburg,McAllen,Hidalgo,TX,219,1114
45888,Inglewood,Los Angeles,Los Angeles,CA,220,2356
33252,Orange,Los Angeles,Orange,CA,221,2916
6155,New Haven,New Haven,New Haven,CT,222,1412
44821,Cumming,Atlanta,Forsyth,GA,223,1696
398007,Flint,Flint,Genesee,MI,224,549
23394,Abilene,Abilene,Taylor,TX,225,1008
24174,Compton,Los Angeles,Los Angeles,CA,226,2101
25818,McAllen,McAllen,Hidalgo,TX,227,1200
3619,Bellevue,Seattle,King,WA,228,2695
54263,Saginaw,Saginaw,Saginaw,MI,229,673
17070,Bloomington,Bloomington,Monroe,IN,230,1255
33230,Olathe,Kansas City,Johnson,KS,231,1661
39815,Miramar,Miami-Fort Lauderdale,Broward,FL,232,1904
8814,Queen Creek,Phoenix,Maricopa,AZ,233,1226
17571,Coral Springs,Miami-Fort Lauderdale,Broward,FL,234,1986
17882,East Los Angeles,Los Angeles,Los Angeles,CA,235,2105
11786,Hamilton,Cincinnati,Butler,OH,236,1183
5071,Hartford,Hartford,Hartford,CT,237,1211
27239,Stamford,Stamford,Fairfield,CT,238,2589
47584,Savannah,Savannah,Chatham,GA,239,1115
27110,Simi Valley,Ventura,Ventura,CA,240,2626
51518,Concord,San Francisco,Contra Costa,CA,241,2535
47847,Sterling Heights,Detroit,Macomb,MI,242,1447
31388,Elizabeth,New York,Union,NJ,243,1683
18208,Frisco,Dallas-Fort Worth,Collin,TX,244,2349
32238,Joliet,Chicago,Will,IL,245,1345
17321,Carrollton,Dallas-Fort Worth,Denton,TX,246,1743
37427,Billings,Billings,Yellowstone,MT,247,1288
16726,Allentown,Allentown,Lehigh,PA,248,1163
30211,Amherst,Buffalo,Erie,NY,249,1717
40760,Santa Fe,Santa Fe,Santa Fe,NM,250,1753
34520,Vallejo,Vallejo,Solano,CA,251,1886
12038,Independence,Kansas City,Jackson,MO,252,920
13713,Santa Clara,San Jose,Santa Clara,CA,253,3472
51297,Cary,Raleigh,Wake,NC,254,1699
38119,Cypress,Houston,Harris,TX,255,1740
44734,Conroe,Houston,Montgomery,TX,256,1541
7330,Surprise,Phoenix,Maricopa,AZ,257,1310
16992,Berkeley,San Francisco,Alameda,CA,258,3483
11865,Hemet,Riverside,Riverside,CA,259,1415
33136,Norman,Oklahoma City,Cleveland,OK,260,1199
4679,Falls Church,Washington,Fairfax,VA,261,2398
4351,Denton,Dallas-Fort Worth,Denton,TX,262,1560
4406,Downey,Los Angeles,Los Angeles,CA,263,2443
48293,Waco,Waco,McLennan,TX,264,964
20793,Thornton,Denver,Adams,CO,265,1856
4810,Frederick,Washington,Frederick,MD,266,1650
34781,Westminster,Denver,Adams,CO,267,1880
398300,Lansing,Lansing,Ingham,MI,268,793
27683,Victorville,Riverside,San Bernardino,CA,269,1264
34671,Waterbury,New Haven,New Haven,CT,270,1242
6172,New Port Richey,Tampa,Pasco,FL,271,1190
7386,Temecula,Riverside,Riverside,CA,272,2166
39767,Miami Gardens,Miami-Fort Lauderdale,Miami-Dade,FL,273,1752
